Assessor Parcel Number,Jurisdiction Name,Maxium_density_allowed_(units/Acres),Total Capacity,Parcel_size(Acres),total people per parcel,AIN,CENTER_LAT,CENTER_LON
6254001014,DOWNEY,75.0,20.0,0.33651607406,38.0,6254001014,33.94143426,-118.1349791
6254020017,DOWNEY,75.0,20.0,0.34716092789,38.0,6254020017,33.9398421,-118.1318917
6254020020,DOWNEY,75.0,10.0,0.17261080142,19.0,6254020020,33.93972516,-118.1316744
6254020903,DOWNEY,75.0,4.0,0.06677415106,7.6,6254020903,33.94024686,-118.132417
6254001009,DOWNEY,75.0,10.0,0.17280508886,19.0,6254001009,33.94170644,-118.1353324
6254009002,DOWNEY,75.0,11.0,0.18367439861,20.9,6254009002,33.94114594,-118.1344942
6254009014,DOWNEY,75.0,18.0,0.31596330786,34.2,6254009014,33.94120721,-118.1342915
6254020014,DOWNEY,75.0,13.0,0.23224782516,24.7,6254020014,33.93997236,-118.1321339
6255001012,DOWNEY,75.0,17.0,0.29648829934,32.3,6255001012,33.94078321,-118.1353215
6229001008,DOWNEY,24.0,11.0,0.35349314975,19.8,6229001008,33.95954399,-118.1441923
6229001006,DOWNEY,24.0,7.0,0.21810263783,12.6,6229001006,33.95979834,-118.1436322
6229001007,DOWNEY,24.0,9.0,0.29163024421,16.2,6229001007,33.95981311,-118.1438778
6229001009,DOWNEY,24.0,6.0,0.17375898105,10.8,6229001009,33.95945697,-118.1438699
6246002003,DOWNEY,24.0,17.0,0.52871352322,30.6,6246002003,33.93589689,-118.146871
6263033014,DOWNEY,24.0,16.0,0.50766795653,28.8,6263033014,33.91485379,-118.1506238
6252019010,DOWNEY,24.0,15.0,0.46774210434,27.0,6252019010,33.94766897,-118.1279518
6229001904,DOWNEY,24.0,2.0,0.0480914593,3.6,6229001904,33.95924408,-118.1433814
6229001003,DOWNEY,24.0,7.0,0.2035002361,12.6,6229001003,33.95943038,-118.1432338
6229001004,DOWNEY,24.0,6.0,0.18438838629,10.8,6229001004,33.95967369,-118.1431026
6245019002,DOWNEY,24.0,4.0,0.13785275259,7.2,6245019002,33.92522048,-118.1514978
